"project","language","article","access","agent","granularity","date","views"
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-04-21,275
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-04-22,201
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-04-23,171
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-04-24,334
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-04-25,327
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-04-26,345
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-04-27,324
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-04-28,236
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-04-29,130
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-04-30,177
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-01-01,131
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-01-02,144
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-01-03,164
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-01-04,160
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-01-05,186
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-01-06,147
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-01-07,142
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-01-08,204
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-01-09,227
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-01-10,189
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-01-11,166
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-01-12,145
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-01-13,138
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-01-14,136
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-01-15,181
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-01-16,184
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-01-17,162
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-01-18,167
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-01-19,169
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-01-20,130
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-01-21,135
