accuracy_(1_high;_2_name_covers_several_sp_eg_sifaka_or_skua;_3_very_generic_eg_mouse_or_crab;_4_confusion_name),episode,date,viewers_(citation:_BARB),multiple,first,last,seconds,diaries,location,taxa,taxa_aves,status,status2,twitter,tweet_count,max_wiki_hit,wiki,baseline_mobile_median,baseline_mobile_mean,wiki_diff_mean,wiki_diff_median,mobile_anomaly_1%,mobile_anomaly_2%,desktop_anomaly_1%,desktop_anomaly_2%,arkive_supplied_data?,arkive,arkive_comments,wiki_other_IMPROVE,popularity,notes
2,4,27/11/16,11.8837,1,12,14,115,0,American W,rodentia,na,lc,1,squirrel,19,336,Ground squirrel,166,182,154,170,0,0,0,0,1,na,other similar sp on arkive,"White-tailed antelope squirrel, Squirrel",,
1,4,27/11/16,11.8837,1,11,14,132,0,American W,aves,accipitriformes,lc,1,hawk,67,526,Harris's hawk,124,128,398,402,2,2,2,2,,na,,Hawk,,
1,4,27/11/16,11.8837,1,2,8,347,0,Namib desert,carnivora,na,vu,3,lion,226,4294,Lion,3624,3838,456,670,0,0,0,0,1,Lion (Panthera leo),,,,
3,4,27/11/16,11.8837,2,17,57,779,yes,Madagascar,insecta,na,na,na,locust,1250,5953,Locust,612,751,5202,5341,2,2,1,2,1,na,other similar sp on arkive,Acrididae,,
na,4,27/11/16,11.8837,1,29,33,237,0,nevada,perissodactyla,na,na,na,na,na,,na,,NA,#VALUE!,0,NA,NA,NA,NA,,na,,,,
na,4,27/11/16,11.8837,1,11,11,50,0,American W,plant,na,na,na,na,na,,na,,NA,#VALUE!,0,NA,NA,NA,NA,,na,,,,
1,4,27/11/16,11.8837,1,34,35,35,0,namib?,reptilia,na,na,na,lizard,32,,na,,NA,#VALUE!,0,NA,NA,NA,NA,,na,,Meroles,,
1,4,27/11/16,11.8837,1,47,48,35,0,namib,reptilia,na,lc,1,chameleon,57,55,Namaqua chameleon,8,9,46,47,2,2,0,1,1,Namaqua chameleon (Chamaeleo namaquensis),,Chameleon,,
2,4,27/11/16,11.8837,1,3,4,82,0,Namib desert,artiodactyla,na,nt,2,oryx,2,467,Oryx,200,208,259,267,1,1,0,0,1,Beisa oryx (Oryx beisa),,East African Oryx,,
1,4,27/11/16,11.8837,1,46,47,27,0,namib,reptilia,na,na,na,gecko,58,24,Pachydactylus rangei,2,3,21,22,1,1,0,0,,na,,,,
2,4,27/11/16,11.8837,1,27,28,65,0,Kalahari,aves,accipitriformes,lc,1,goshawk,18,64,Pale chanting goshawk,4,4,60,60,2,2,0,1,,na,other similar sp on arkive,,,
2,4,27/11/16,11.8837,1,25,29,248,0,Kalahari,aves,pteroclidiformes,lc,1,sandgrouse,22,529,Sandgrouse,17,18,511,512,2,2,2,2,1,na,other similar sp on arkive,Namaqua sandgrouse,,
2,4,27/11/16,11.8837,1,22,25,171,0,Kalahari,perissodactyla,na,nt,2,zebra,42,2194,Zebra,1060,1076,1118,1134,1,1,0,0,,Plains zebra (Equus quagga),,Plains zebra,,
2,5,04/12/16,11.5443,1,8,12,255,0,okavango,artiodactyla,na,lc,1,buffalo,79,825,African buffalo,453,468,357,372,0,0,0,0,1,African buffalo (Syncerus caffer),,,,
1,5,04/12/16,11.5443,1,33,34,65,0,northern australia,insecta,na,na,na,na,na,132,Amitermes meridionalis,0,2,130,132,2,2,2,2,,Magnetic termite (Amitermes meridionalis),,,,
1,5,04/12/16,11.5443,1,45,48,206,0,north america,carnivora,na,lc,1,wolf,150,475,Arctic wolf,189,197,278,286,1,1,0,0,,Grey wolf (Canis lupus),,,,
2,5,04/12/16,11.5443,1,31,33,130,0,south america,insecta,na,na,na,cutter ant,3,28,Atta (genus),11,12,16,17,0,0,0,0,,na,,,,
1,5,04/12/16,11.5443,1,15,16,53,0,european meadowlands,aves,strigiformes,lc,1,owl,122,680,Barn owl,387,396,284,293,0,0,0,0,1,Barn owl (Tyto alba),,Owl,,
2,5,04/12/16,11.5443,1,37,42,293,0,north america,artiodactyla,na,nt,2,bison,23,2206,Bison,806,904,1302,1400,0,1,0,0,1,American bison (Bison bison),,American bison,,
1,5,04/12/16,11.5443,1,42,47,270,0,north america,artiodactyla,na,vu,3,caribou,203,2825,Caribou,371,412,2413,2454,1,1,1,1,1,Reindeer (Rangifer tarandus),,,,
2,5,04/12/16,11.5443,1,19,21,193,0,african savannah,proboscidea,na,vu,3,na,na,3334,Elephant,2696,2759,575,638,0,0,0,0,1,African elephant (Loxodonta africana),,African elephant,,two species of elephant are featured but only one wiki entry is used
2,5,04/12/16,11.5443,1,49,57,515,yes,"Kaziranga, India",proboscidea,na,en,4,na,na,3334,Elephant,2696,2759,575,638,0,0,0,0,?,Asian elephant (Elephas maximus),,Asian elephant,,
2,5,04/12/16,11.5443,1,39,42,194,0,north america,carnivora,na,lc,1,fox,170,3017,Fox,1523,1575,1442,1494,1,1,0,0,1,Red fox (Vulpes vulpes),,Red fox,,
1,5,04/12/16,11.5443,1,35,37,117,0,south america,pilosa,na,vu,3,anteater,10,809,Giant anteater,129,169,640,680,1,2,0,0,1,Giant anteater (Myrmecophaga tridactyla),,,,
1,5,04/12/16,11.5443,1,26,30,242,0,african savannah,aves,passeriformes,nt,2,widowbird,16,458,Jackson's widowbird,1,1,457,457,2,2,2,2,1,Jackson’s widowbird (Euplectes jacksoni),,Euplectes,,
1,5,04/12/16,11.5443,1,18,18,41,0,african savannah,aves,otidiformes,nt,2,bustard,0,1052,Kori bustard,70,80,972,982,2,2,2,2,1,Kori bustard (Ardeotis kori),,Bustard,,
1,5,04/12/16,11.5443,1,6,26,386,0,okavango,carnivora,na,vu,3,lion,156,4261,Lion,3624,3838,423,637,0,0,0,0,1,Lion (Panthera leo),,,,
1,5,04/12/16,11.5443,1,13,17,220,0,european meadowlands,rodentia,na,lc,1,mouse,430,106,Micromys,2,3,103,104,2,2,0,2,1,Harvest mouse (Micromys minutus),,Mouse,,
1,5,04/12/16,11.5443,1,19,19,47,0,african savannah,aves,struthioniformes,lc,1,ostrich,57,1925,Ostrich,1155,1204,721,770,0,1,0,0,1,Ostrich (Struthio camelus),,,,
2,5,04/12/16,11.5443,1,49,52,214,yes,"Kaziranga, India",perissodactyla,na,vu,3,rhino,32,1537,Rhinoceros,1175,1251,286,362,0,0,0,0,?,Indian rhinoceros (Rhinoceros unicornis),,Indian rhinoceros,,
1,5,04/12/16,11.5443,1,2,5,160,0,eurasian steppe,artiodactyla,na,cr,5,saiga,23,3369,Saiga antelope,114,176,3193,3255,2,2,1,2,1,Saiga antelope (Saiga tatarica),,Antelope,,
1,5,04/12/16,11.5443,1,21,25,246,0,african savannah,carnivora,na,lc,1,serval,63,2634,Serval,647,708,1926,1987,0,1,0,0,1,Serval (Leptailurus serval),,,,
1,5,04/12/16,11.5443,1,49,55,360,yes,"Kaziranga, India",carnivora,na,vu,3,bear,65,5722,Sloth bear,428,590,5132,5294,1,2,0,0,1,Sloth bear (Melursus ursinus),,,,
1,5,04/12/16,11.5443,1,22,25,173,0,african savannah,rodentia,na,lc,1,na,na,9,Southern African vlei rat,0,0,9,9,1,2,0,1,,na,,Rat,,
