Day Index,Product Revenue,standardised
18/06/2016,30.00,-0.365187358
19/06/2016,118.00,-0.097333225
20/06/2016,0.00,-0.456501267
21/06/2016,34.00,-0.35301217
22/06/2016,0.00,-0.456501267
23/06/2016,11.00,-0.423019501
24/06/2016,40.00,-0.334749389
25/06/2016,0.00,-0.456501267
26/06/2016,15.00,-0.410844313
27/06/2016,0.00,-0.456501267
28/06/2016,0.00,-0.456501267
29/06/2016,529.62,1.155554482
30/06/2016,180.00,0.091382186
01/07/2016,207.00,0.173564705
02/07/2016,270.00,0.365323913
03/07/2016,20.00,-0.395625328
04/07/2016,1011.00,2.620777465
05/07/2016,30.00,-0.365187358
06/07/2016,15.00,-0.410844313
07/07/2016,0.00,-0.456501267
08/07/2016,0.00,-0.456501267
09/07/2016,165.00,0.045725232
10/07/2016,40.00,-0.334749389
11/07/2016,620.00,1.430652851
12/07/2016,58.00,-0.279961043
13/07/2016,56.00,-0.286048637
14/07/2016,170.00,0.060944217
15/07/2016,5.00,-0.441282282
16/07/2016,5.00,-0.441282282
17/07/2016,24.00,-0.38345014
18/07/2016,159.00,0.02746245
19/07/2016,0.00,-0.456501267
20/07/2016,0.00,-0.456501267
21/07/2016,14.00,-0.41388811
22/07/2016,0.00,-0.456501267
23/07/2016,0.00,-0.456501267
24/07/2016,512.00,1.101922779
25/07/2016,125.00,-0.076026647
26/07/2016,128.00,-0.066895256
27/07/2016,10.00,-0.426063298
28/07/2016,75.00,-0.228216495
29/07/2016,64.50,-0.260176363
30/07/2016,0.00,-0.456501267
31/07/2016,0.00,-0.456501267
01/08/2016,66.00,-0.255610668
02/08/2016,50.00,-0.304311419
03/08/2016,60.00,-0.273873449
04/08/2016,0.00,-0.456501267
05/08/2016,0.00,-0.456501267
06/08/2016,3403.33,9.902544259
07/08/2016,0.00,-0.456501267
08/08/2016,120.00,-0.091245631
09/08/2016,20.00,-0.395625328
10/08/2016,230.00,0.243572035
11/08/2016,50.00,-0.304311419
12/08/2016,24.50,-0.381928242
13/08/2016,60.00,-0.273873449
14/08/2016,16.00,-0.407800516
15/08/2016,30.00,-0.365187358
16/08/2016,20.00,-0.395625328
17/08/2016,64.00,-0.261698262
18/08/2016,60.00,-0.273873449
19/08/2016,21.00,-0.392581531
20/08/2016,400.00,0.761017519
21/08/2016,15.00,-0.410844313
22/08/2016,20.00,-0.395625328
23/08/2016,1032.00,2.684697201
24/08/2016,130.00,-0.060807662
25/08/2016,60.87,-0.271225346
26/08/2016,37.30,-0.34296764
27/08/2016,12.00,-0.419975704
28/08/2016,70.00,-0.24343548
29/08/2016,44.00,-0.322574201
30/08/2016,228.88,0.240162982
31/08/2016,0.00,-0.456501267
01/09/2016,230.00,0.243572035
02/09/2016,20.00,-0.395625328
03/09/2016,0.00,-0.456501267
04/09/2016,20.00,-0.395625328
05/09/2016,7.00,-0.435194689
06/09/2016,0.00,-0.456501267
07/09/2016,99.00,-0.155165368
08/09/2016,36.00,-0.346924577
09/09/2016,0.00,-0.456501267
10/09/2016,249.00,0.301404177
11/09/2016,12.00,-0.419975704
12/09/2016,0.00,-0.456501267
13/09/2016,100.00,-0.152121571
14/09/2016,0.00,-0.456501267
15/09/2016,52.00,-0.298223825
16/09/2016,140.00,-0.030369692
17/09/2016,25.00,-0.380406343
18/09/2016,140.00,-0.030369692
19/09/2016,45.00,-0.319530404
20/09/2016,45.84,-0.316973614
21/09/2016,1031.69,2.683753624
22/09/2016,51.00,-0.301267622
23/09/2016,123.00,-0.082114241
24/09/2016,69.00,-0.246479277
25/09/2016,25.00,-0.380406343
26/09/2016,135.00,-0.045588677
27/09/2016,57.00,-0.28300484
28/09/2016,10.00,-0.426063298
29/09/2016,95.00,-0.167340556
30/09/2016,104.12,-0.139581127
01/10/2016,100.00,-0.152121571
02/10/2016,70.00,-0.24343548
03/10/2016,51.00,-0.301267622
04/10/2016,195.00,0.137039141
05/10/2016,143.33,-0.020233848
06/10/2016,80.00,-0.21299751
07/10/2016,109.98,-0.121744477
08/10/2016,0.00,-0.456501267
09/10/2016,0.00,-0.456501267
10/10/2016,1.14,-0.453031339
11/10/2016,0.00,-0.456501267
12/10/2016,76.50,-0.223650799
13/10/2016,5.00,-0.441282282
14/10/2016,10.00,-0.426063298
15/10/2016,50.00,-0.304311419
16/10/2016,112.00,-0.115596007
17/10/2016,147.00,-0.009063113
18/10/2016,25.00,-0.380406343
19/10/2016,66.95,-0.25271906
20/10/2016,212.00,0.188783689
21/10/2016,0.00,-0.456501267
22/10/2016,30.00,-0.365187358
23/10/2016,417.00,0.812762067
24/10/2016,2344.60,6.679985098
25/10/2016,50.00,-0.304311419
26/10/2016,161.00,0.033550044
27/10/2016,130.72,-0.058616128
28/10/2016,1.08,-0.453213967
29/10/2016,60.00,-0.273873449
30/10/2016,6.00,-0.438238486
31/10/2016,37.00,-0.34388078
01/11/2016,70.00,-0.24343548
02/11/2016,725.00,1.750251533
03/11/2016,109.00,-0.124727398
