project,language,article,access,agent,granularity,date,views
wikipedia,en,African_elephant,mobile-web,user,daily,22/01/2017,517
wikipedia,en,African_elephant,mobile-web,user,daily,23/01/2017,439
wikipedia,en,African_elephant,mobile-web,user,daily,24/01/2017,409
wikipedia,en,African_elephant,mobile-web,user,daily,25/01/2017,461
wikipedia,en,African_elephant,mobile-web,user,daily,26/01/2017,404
wikipedia,en,African_elephant,mobile-web,user,daily,27/01/2017,440
wikipedia,en,African_elephant,mobile-web,user,daily,28/01/2017,418
wikipedia,en,African_elephant,mobile-web,user,daily,29/01/2017,526
wikipedia,en,African_elephant,mobile-web,user,daily,30/01/2017,479
wikipedia,en,African_elephant,mobile-web,user,daily,31/01/2017,432
wikipedia,en,African_elephant,mobile-web,user,daily,01/02/2017,452
wikipedia,en,African_elephant,mobile-web,user,daily,02/02/2017,470
wikipedia,en,African_elephant,mobile-web,user,daily,03/02/2017,458
wikipedia,en,African_elephant,mobile-web,user,daily,04/02/2017,407
wikipedia,en,African_elephant,mobile-web,user,daily,05/02/2017,468
wikipedia,en,African_elephant,mobile-web,user,daily,06/02/2017,514
wikipedia,en,African_elephant,mobile-web,user,daily,07/02/2017,470
wikipedia,en,African_elephant,mobile-web,user,daily,08/02/2017,472
wikipedia,en,African_elephant,mobile-web,user,daily,09/02/2017,465
wikipedia,en,African_elephant,mobile-web,user,daily,10/02/2017,441
wikipedia,en,African_elephant,mobile-web,user,daily,11/02/2017,462
wikipedia,en,African_elephant,mobile-web,user,daily,12/02/2017,464
wikipedia,en,African_elephant,mobile-web,user,daily,13/02/2017,471
wikipedia,en,African_elephant,mobile-web,user,daily,14/02/2017,429
wikipedia,en,African_elephant,mobile-web,user,daily,15/02/2017,720
wikipedia,en,African_elephant,mobile-web,user,daily,16/02/2017,643
wikipedia,en,African_elephant,mobile-web,user,daily,17/02/2017,646
wikipedia,en,African_elephant,mobile-web,user,daily,18/02/2017,510
wikipedia,en,African_elephant,mobile-web,user,daily,19/02/2017,587
wikipedia,en,African_elephant,mobile-web,user,daily,20/02/2017,554
wikipedia,en,African_elephant,mobile-web,user,daily,21/02/2017,505
wikipedia,en,African_elephant,mobile-web,user,daily,22/02/2017,542
wikipedia,en,African_elephant,mobile-web,user,daily,23/02/2017,448
wikipedia,en,African_elephant,mobile-web,user,daily,24/02/2017,451
wikipedia,en,African_elephant,mobile-web,user,daily,25/02/2017,431
wikipedia,en,African_elephant,mobile-web,user,daily,26/02/2017,555
wikipedia,en,African_elephant,mobile-web,user,daily,27/02/2017,492
wikipedia,en,African_elephant,mobile-web,user,daily,28/02/2017,438
wikipedia,en,African_elephant,mobile-web,user,daily,01/03/2017,457
wikipedia,en,African_elephant,mobile-web,user,daily,02/03/2017,427
wikipedia,en,African_elephant,mobile-web,user,daily,03/03/2017,513
wikipedia,en,African_elephant,mobile-web,user,daily,04/03/2017,424
wikipedia,en,African_elephant,mobile-web,user,daily,05/03/2017,505
wikipedia,en,African_elephant,mobile-web,user,daily,06/03/2017,465
wikipedia,en,African_elephant,mobile-web,user,daily,07/03/2017,543
wikipedia,en,African_elephant,mobile-web,user,daily,08/03/2017,557
wikipedia,en,African_elephant,mobile-web,user,daily,09/03/2017,567
wikipedia,en,African_elephant,mobile-web,user,daily,10/03/2017,417
wikipedia,en,African_elephant,mobile-web,user,daily,11/03/2017,389
wikipedia,en,African_elephant,mobile-web,user,daily,12/03/2017,436
wikipedia,en,African_elephant,mobile-web,user,daily,13/03/2017,469
wikipedia,en,African_elephant,mobile-web,user,daily,14/03/2017,457
wikipedia,en,African_elephant,mobile-web,user,daily,15/03/2017,482
wikipedia,en,African_elephant,mobile-web,user,daily,16/03/2017,420
wikipedia,en,African_elephant,mobile-web,user,daily,17/03/2017,386
wikipedia,en,African_elephant,mobile-web,user,daily,18/03/2017,399
wikipedia,en,African_elephant,mobile-web,user,daily,19/03/2017,463
wikipedia,en,African_elephant,mobile-web,user,daily,20/03/2017,417
wikipedia,en,African_elephant,mobile-web,user,daily,21/03/2017,456
wikipedia,en,African_elephant,mobile-web,user,daily,22/03/2017,443
wikipedia,en,African_elephant,mobile-web,user,daily,23/03/2017,377
wikipedia,en,African_elephant,mobile-web,user,daily,24/03/2017,341
wikipedia,en,African_elephant,mobile-web,user,daily,25/03/2017,371
wikipedia,en,African_elephant,mobile-web,user,daily,26/03/2017,424
wikipedia,en,African_elephant,mobile-web,user,daily,27/03/2017,465
wikipedia,en,African_elephant,mobile-web,user,daily,28/03/2017,409
wikipedia,en,African_elephant,mobile-web,user,daily,29/03/2017,402
wikipedia,en,African_elephant,mobile-web,user,daily,30/03/2017,405
wikipedia,en,African_elephant,mobile-web,user,daily,31/03/2017,388
wikipedia,en,African_elephant,mobile-web,user,daily,01/04/2017,372
wikipedia,en,African_elephant,mobile-web,user,daily,02/04/2017,436
wikipedia,en,African_elephant,mobile-web,user,daily,03/04/2017,522
wikipedia,en,African_elephant,mobile-web,user,daily,04/04/2017,402
wikipedia,en,African_elephant,mobile-web,user,daily,05/04/2017,439
wikipedia,en,African_elephant,mobile-web,user,daily,06/04/2017,424
wikipedia,en,African_elephant,mobile-web,user,daily,07/04/2017,317
wikipedia,en,African_elephant,mobile-web,user,daily,08/04/2017,307
wikipedia,en,African_elephant,mobile-web,user,daily,09/04/2017,404
wikipedia,en,African_elephant,mobile-web,user,daily,10/04/2017,390
wikipedia,en,African_elephant,mobile-web,user,daily,11/04/2017,347
wikipedia,en,African_elephant,mobile-web,user,daily,12/04/2017,394
wikipedia,en,African_elephant,mobile-web,user,daily,13/04/2017,369
wikipedia,en,African_elephant,mobile-web,user,daily,14/04/2017,330
wikipedia,en,African_elephant,mobile-web,user,daily,15/04/2017,331
wikipedia,en,African_elephant,mobile-web,user,daily,16/04/2017,316
wikipedia,en,African_elephant,mobile-web,user,daily,17/04/2017,404
wikipedia,en,African_elephant,mobile-web,user,daily,18/04/2017,395
wikipedia,en,African_elephant,mobile-web,user,daily,19/04/2017,404
wikipedia,en,African_elephant,mobile-web,user,daily,20/04/2017,397
wikipedia,en,African_elephant,mobile-web,user,daily,21/04/2017,408
wikipedia,en,African_elephant,mobile-web,user,daily,22/04/2017,455
wikipedia,en,African_elephant,mobile-web,user,daily,23/04/2017,392
wikipedia,en,African_elephant,mobile-web,user,daily,24/04/2017,418
wikipedia,en,African_elephant,mobile-web,user,daily,25/04/2017,432
wikipedia,en,African_elephant,mobile-web,user,daily,26/04/2017,467
wikipedia,en,African_elephant,mobile-web,user,daily,27/04/2017,417
wikipedia,en,African_elephant,mobile-web,user,daily,28/04/2017,373
wikipedia,en,African_elephant,mobile-web,user,daily,29/04/2017,331
wikipedia,en,African_elephant,mobile-web,user,daily,30/04/2017,386
wikipedia,en,Arctic_wolf,desktop,user,daily,01/01/2017,140
wikipedia,en,Arctic_wolf,desktop,user,daily,02/01/2017,161
wikipedia,en,Arctic_wolf,desktop,user,daily,03/01/2017,252
wikipedia,en,Arctic_wolf,desktop,user,daily,04/01/2017,275
wikipedia,en,Arctic_wolf,desktop,user,daily,05/01/2017,373
wikipedia,en,Arctic_wolf,desktop,user,daily,06/01/2017,310
wikipedia,en,Arctic_wolf,desktop,user,daily,07/01/2017,195
wikipedia,en,Arctic_wolf,desktop,user,daily,08/01/2017,237
