name,splitArticlesBefore,splitArticlesAfter,change,percChange,show,anomalies
Pygmy_three-toed_sloth,38,42.5,1,11.84210526,PE2,1
Raccoon,2284.5,2246.5,0,-1.663383673,PE2,0
Railroad_worm,13,21,1,61.53846154,PE2,1
Rat,915,792.5,0,-13.38797814,PE2,0
Red_bird-of-paradise,9,11,1,22.22222222,PE2,1
Red_fox,1006,1128,1,12.12723658,PE2,0
Rhesus_macaque,213,222,1,4.225352113,PE2,0
Rhinoceros,1290.5,1111.5,0,-13.87059279,PE2,0
Ring-tailed_lemur,202.5,213,1,5.185185185,PE2,0
River_dolphin,128,147,1,14.84375,PE2,1
Saiga_antelope,85,115,1,35.29411765,PE2,1
Sandgrouse,17,27,1,58.82352941,PE2,1
Serval,748,533.5,0,-28.67647059,PE2,0
Seychelles_fody,1,1,0,0,PE2,1
Shearwater,39,49,1,25.64102564,PE2,1
Sifaka,33,37,1,12.12121212,PE2,0
Skua,91,93,1,2.197802198,PE2,0
Sloth_bear,671.5,448.5,0,-33.20923306,PE2,1
Smooth-coated_otter,36,39.5,1,9.722222222,PE2,0
Snares_penguin,8,9,1,12.5,PE2,1
Snow_Leopard,22.5,22,0,-2.222222222,PE2,0
Southern_African_vlei_rat,0,1,1,Inf,PE2,0
Southern_carmine_bee-eater,5,7,1,40,PE2,1
Spider,1293,3522.5,1,172.4284609,PE2,0
Spider_monkey,269.5,271.5,1,0.742115028,PE2,1
Spotted_hyena,386.5,470,1,21.60413972,PE2,1
Squirrel,979.5,950.5,0,-2.960694232,PE2,0
Starling,291,300,1,3.092783505,PE2,0
Sword-billed_hummingbird,15,20,1,33.33333333,PE2,1
Termite,985.5,1029,1,4.414003044,PE2,0
Tiger,3756.5,3081,0,-17.98216425,PE2,0
Uroplatus,11,14,1,27.27272727,PE2,0
Vole,689.5,764,1,10.80493111,PE2,0
Wasp,1601,1521,0,-4.996876952,PE2,0
Wels_catfish,163,188,1,15.33742331,PE2,1
Wild_water_buffalo,162,174,1,7.407407407,PE2,0
Wildebeest,460.5,499,1,8.360477742,PE2,0
Wilson's_bird-of-paradise,11,21,1,90.90909091,PE2,1
Yellow_crazy_ant,60.5,81,1,33.88429752,PE2,1
Zebra,1100.5,1055,0,-4.134484325,PE2,0
