species,day,page views
African buffalo (Syncerus caffer),09/05/2016,86
African buffalo (Syncerus caffer),10/05/2016,267
African buffalo (Syncerus caffer),11/05/2016,556
African buffalo (Syncerus caffer),12/05/2016,225
African buffalo (Syncerus caffer),13/05/2016,60
African buffalo (Syncerus caffer),14/05/2016,28
African buffalo (Syncerus caffer),15/05/2016,192
African buffalo (Syncerus caffer),16/05/2016,255
African buffalo (Syncerus caffer),17/05/2016,375
African buffalo (Syncerus caffer),18/05/2016,194
African buffalo (Syncerus caffer),19/05/2016,416
African buffalo (Syncerus caffer),20/05/2016,247
African buffalo (Syncerus caffer),21/05/2016,295
African buffalo (Syncerus caffer),22/05/2016,220
African buffalo (Syncerus caffer),23/05/2016,581
African buffalo (Syncerus caffer),24/05/2016,162
African buffalo (Syncerus caffer),25/05/2016,280
African buffalo (Syncerus caffer),26/05/2016,127
African buffalo (Syncerus caffer),27/05/2016,195
African buffalo (Syncerus caffer),28/05/2016,237
African buffalo (Syncerus caffer),29/05/2016,130
African buffalo (Syncerus caffer),30/05/2016,72
African buffalo (Syncerus caffer),31/05/2016,280
African buffalo (Syncerus caffer),01/06/2016,289
African buffalo (Syncerus caffer),02/06/2016,422
African buffalo (Syncerus caffer),03/06/2016,242
African buffalo (Syncerus caffer),04/06/2016,243
African buffalo (Syncerus caffer),05/06/2016,338
African buffalo (Syncerus caffer),06/06/2016,85
African buffalo (Syncerus caffer),07/06/2016,202
African buffalo (Syncerus caffer),08/06/2016,137
African buffalo (Syncerus caffer),09/06/2016,154
African buffalo (Syncerus caffer),10/06/2016,66
African buffalo (Syncerus caffer),11/06/2016,160
African buffalo (Syncerus caffer),12/06/2016,161
African buffalo (Syncerus caffer),13/06/2016,191
African buffalo (Syncerus caffer),14/06/2016,206
African buffalo (Syncerus caffer),15/06/2016,226
African buffalo (Syncerus caffer),16/06/2016,153
African buffalo (Syncerus caffer),17/06/2016,77
African buffalo (Syncerus caffer),18/06/2016,88
African buffalo (Syncerus caffer),19/06/2016,192
African buffalo (Syncerus caffer),20/06/2016,124
African buffalo (Syncerus caffer),21/06/2016,350
African buffalo (Syncerus caffer),22/06/2016,101
African buffalo (Syncerus caffer),23/06/2016,169
African buffalo (Syncerus caffer),24/06/2016,119
African buffalo (Syncerus caffer),25/06/2016,185
African buffalo (Syncerus caffer),26/06/2016,109
African buffalo (Syncerus caffer),27/06/2016,174
African buffalo (Syncerus caffer),28/06/2016,258
African buffalo (Syncerus caffer),29/06/2016,125
African buffalo (Syncerus caffer),30/06/2016,185
African buffalo (Syncerus caffer),01/07/2016,43
African buffalo (Syncerus caffer),02/07/2016,187
African buffalo (Syncerus caffer),03/07/2016,86
African buffalo (Syncerus caffer),04/07/2016,118
African buffalo (Syncerus caffer),05/07/2016,138
African buffalo (Syncerus caffer),06/07/2016,198
African buffalo (Syncerus caffer),07/07/2016,198
African buffalo (Syncerus caffer),08/07/2016,182
African buffalo (Syncerus caffer),09/07/2016,136
African buffalo (Syncerus caffer),10/07/2016,101
African buffalo (Syncerus caffer),11/07/2016,153
African buffalo (Syncerus caffer),12/07/2016,150
African buffalo (Syncerus caffer),13/07/2016,95
African buffalo (Syncerus caffer),14/07/2016,101
African buffalo (Syncerus caffer),15/07/2016,157
African buffalo (Syncerus caffer),16/07/2016,144
African buffalo (Syncerus caffer),17/07/2016,231
African buffalo (Syncerus caffer),18/07/2016,172
African buffalo (Syncerus caffer),19/07/2016,110
African buffalo (Syncerus caffer),20/07/2016,339
African buffalo (Syncerus caffer),21/07/2016,101
African buffalo (Syncerus caffer),22/07/2016,73
African buffalo (Syncerus caffer),23/07/2016,70
African buffalo (Syncerus caffer),24/07/2016,125
African buffalo (Syncerus caffer),25/07/2016,142
African buffalo (Syncerus caffer),26/07/2016,63
African buffalo (Syncerus caffer),27/07/2016,75
African buffalo (Syncerus caffer),28/07/2016,99
African buffalo (Syncerus caffer),29/07/2016,212
African buffalo (Syncerus caffer),30/07/2016,154
African buffalo (Syncerus caffer),31/07/2016,253
African buffalo (Syncerus caffer),01/08/2016,171
African buffalo (Syncerus caffer),02/08/2016,174
African buffalo (Syncerus caffer),03/08/2016,172
African buffalo (Syncerus caffer),04/08/2016,226
African buffalo (Syncerus caffer),05/08/2016,71
African buffalo (Syncerus caffer),06/08/2016,107
African buffalo (Syncerus caffer),07/08/2016,335
African buffalo (Syncerus caffer),08/08/2016,119
African buffalo (Syncerus caffer),09/08/2016,383
African buffalo (Syncerus caffer),10/08/2016,160
African buffalo (Syncerus caffer),11/08/2016,163
African buffalo (Syncerus caffer),12/08/2016,358
African buffalo (Syncerus caffer),13/08/2016,141
African buffalo (Syncerus caffer),14/08/2016,355
African buffalo (Syncerus caffer),15/08/2016,436
African buffalo (Syncerus caffer),16/08/2016,243
African buffalo (Syncerus caffer),17/08/2016,227
African buffalo (Syncerus caffer),18/08/2016,220
African buffalo (Syncerus caffer),19/08/2016,66
African buffalo (Syncerus caffer),20/08/2016,194
African buffalo (Syncerus caffer),21/08/2016,104
African buffalo (Syncerus caffer),22/08/2016,388
African buffalo (Syncerus caffer),23/08/2016,296
African buffalo (Syncerus caffer),24/08/2016,148
African buffalo (Syncerus caffer),25/08/2016,210
African buffalo (Syncerus caffer),26/08/2016,517
African buffalo (Syncerus caffer),27/08/2016,103
African buffalo (Syncerus caffer),28/08/2016,128
African buffalo (Syncerus caffer),29/08/2016,109
African buffalo (Syncerus caffer),30/08/2016,254
African buffalo (Syncerus caffer),31/08/2016,99
African buffalo (Syncerus caffer),01/09/2016,126
African buffalo (Syncerus caffer),02/09/2016,241
African buffalo (Syncerus caffer),03/09/2016,66
African buffalo (Syncerus caffer),04/09/2016,145
African buffalo (Syncerus caffer),05/09/2016,338
African buffalo (Syncerus caffer),06/09/2016,237
African buffalo (Syncerus caffer),07/09/2016,176
African buffalo (Syncerus caffer),08/09/2016,217
African buffalo (Syncerus caffer),09/09/2016,297
African buffalo (Syncerus caffer),10/09/2016,154
African buffalo (Syncerus caffer),11/09/2016,94
African buffalo (Syncerus caffer),12/09/2016,243
African buffalo (Syncerus caffer),13/09/2016,82
African buffalo (Syncerus caffer),14/09/2016,415
African buffalo (Syncerus caffer),15/09/2016,129
African buffalo (Syncerus caffer),16/09/2016,406
African buffalo (Syncerus caffer),17/09/2016,430
African buffalo (Syncerus caffer),18/09/2016,133
African buffalo (Syncerus caffer),19/09/2016,162
African buffalo (Syncerus caffer),20/09/2016,248
African buffalo (Syncerus caffer),21/09/2016,81
African buffalo (Syncerus caffer),22/09/2016,371
African buffalo (Syncerus caffer),23/09/2016,106
African buffalo (Syncerus caffer),24/09/2016,139
African buffalo (Syncerus caffer),25/09/2016,162
African buffalo (Syncerus caffer),26/09/2016,364
African buffalo (Syncerus caffer),27/09/2016,221
African buffalo (Syncerus caffer),28/09/2016,131
African buffalo (Syncerus caffer),29/09/2016,148
African buffalo (Syncerus caffer),30/09/2016,101
African buffalo (Syncerus caffer),01/10/2016,192
African buffalo (Syncerus caffer),02/10/2016,288
African buffalo (Syncerus caffer),03/10/2016,102
African buffalo (Syncerus caffer),04/10/2016,387
African buffalo (Syncerus caffer),05/10/2016,241
African buffalo (Syncerus caffer),06/10/2016,247
African buffalo (Syncerus caffer),07/10/2016,316
African buffalo (Syncerus caffer),08/10/2016,300
African buffalo (Syncerus caffer),09/10/2016,60
African buffalo (Syncerus caffer),10/10/2016,206
African buffalo (Syncerus caffer),11/10/2016,239
African buffalo (Syncerus caffer),12/10/2016,271
African buffalo (Syncerus caffer),13/10/2016,269
African buffalo (Syncerus caffer),14/10/2016,141
African buffalo (Syncerus caffer),15/10/2016,209
African buffalo (Syncerus caffer),16/10/2016,141
African buffalo (Syncerus caffer),17/10/2016,390
African buffalo (Syncerus caffer),18/10/2016,95
African buffalo (Syncerus caffer),19/10/2016,124
African buffalo (Syncerus caffer),20/10/2016,103
African buffalo (Syncerus caffer),21/10/2016,468
African buffalo (Syncerus caffer),22/10/2016,115
African buffalo (Syncerus caffer),23/10/2016,84
African buffalo (Syncerus caffer),24/10/2016,238
African buffalo (Syncerus caffer),25/10/2016,281
African buffalo (Syncerus caffer),26/10/2016,150
African buffalo (Syncerus caffer),27/10/2016,127
African buffalo (Syncerus caffer),28/10/2016,147
African buffalo (Syncerus caffer),29/10/2016,136
African buffalo (Syncerus caffer),30/10/2016,416
African buffalo (Syncerus caffer),31/10/2016,138
African buffalo (Syncerus caffer),01/11/2016,141
African buffalo (Syncerus caffer),02/11/2016,194
African buffalo (Syncerus caffer),03/11/2016,154
African buffalo (Syncerus caffer),04/11/2016,161
African buffalo (Syncerus caffer),05/11/2016,95
African buffalo (Syncerus caffer),06/11/2016,89
African buffalo (Syncerus caffer),07/11/2016,73
African buffalo (Syncerus caffer),08/11/2016,145
African buffalo (Syncerus caffer),09/11/2016,27
African buffalo (Syncerus caffer),10/11/2016,275
African buffalo (Syncerus caffer),11/11/2016,203
African buffalo (Syncerus caffer),12/11/2016,127
African buffalo (Syncerus caffer),13/11/2016,211
African buffalo (Syncerus caffer),14/11/2016,77
African buffalo (Syncerus caffer),15/11/2016,222
African buffalo (Syncerus caffer),16/11/2016,460
African buffalo (Syncerus caffer),17/11/2016,454
African buffalo (Syncerus caffer),18/11/2016,323
African buffalo (Syncerus caffer),19/11/2016,153
African buffalo (Syncerus caffer),20/11/2016,138
African buffalo (Syncerus caffer),21/11/2016,176
African buffalo (Syncerus caffer),22/11/2016,209
African buffalo (Syncerus caffer),23/11/2016,202
African buffalo (Syncerus caffer),24/11/2016,190
African buffalo (Syncerus caffer),25/11/2016,83
African buffalo (Syncerus caffer),26/11/2016,55
African buffalo (Syncerus caffer),27/11/2016,87
African buffalo (Syncerus caffer),28/11/2016,118
African buffalo (Syncerus caffer),29/11/2016,159
African buffalo (Syncerus caffer),30/11/2016,178
African buffalo (Syncerus caffer),01/12/2016,161
African buffalo (Syncerus caffer),02/12/2016,174
African buffalo (Syncerus caffer),03/12/2016,217
African buffalo (Syncerus caffer),04/12/2016,93
African buffalo (Syncerus caffer),05/12/2016,246
African buffalo (Syncerus caffer),06/12/2016,252
African buffalo (Syncerus caffer),07/12/2016,372
African buffalo (Syncerus caffer),08/12/2016,285
African buffalo (Syncerus caffer),09/12/2016,187
African buffalo (Syncerus caffer),10/12/2016,177
African buffalo (Syncerus caffer),11/12/2016,101
African buffalo (Syncerus caffer),12/12/2016,337
African buffalo (Syncerus caffer),13/12/2016,164
African buffalo (Syncerus caffer),14/12/2016,60
African buffalo (Syncerus caffer),15/12/2016,219
African buffalo (Syncerus caffer),16/12/2016,120
African buffalo (Syncerus caffer),17/12/2016,51
African buffalo (Syncerus caffer),18/12/2016,157
African buffalo (Syncerus caffer),19/12/2016,184
African buffalo (Syncerus caffer),20/12/2016,52
African buffalo (Syncerus caffer),21/12/2016,90
African buffalo (Syncerus caffer),22/12/2016,138
African buffalo (Syncerus caffer),23/12/2016,68
African buffalo (Syncerus caffer),24/12/2016,58
African buffalo (Syncerus caffer),25/12/2016,64
African buffalo (Syncerus caffer),26/12/2016,51
African buffalo (Syncerus caffer),27/12/2016,186
African buffalo (Syncerus caffer),28/12/2016,91
African buffalo (Syncerus caffer),29/12/2016,131
African buffalo (Syncerus caffer),30/12/2016,57
African buffalo (Syncerus caffer),31/12/2016,87
Alaotran gentle lemur (Hapalemur alaotrensis),01/01/2016,1
Alaotran gentle lemur (Hapalemur alaotrensis),02/01/2016,4
Alaotran gentle lemur (Hapalemur alaotrensis),03/01/2016,25
Alaotran gentle lemur (Hapalemur alaotrensis),04/01/2016,4
Alaotran gentle lemur (Hapalemur alaotrensis),05/01/2016,7
Alaotran gentle lemur (Hapalemur alaotrensis),06/01/2016,11
Alaotran gentle lemur (Hapalemur alaotrensis),07/01/2016,12
Alaotran gentle lemur (Hapalemur alaotrensis),08/01/2016,4
Alaotran gentle lemur (Hapalemur alaotrensis),09/01/2016,0
Alaotran gentle lemur (Hapalemur alaotrensis),10/01/2016,32
Alaotran gentle lemur (Hapalemur alaotrensis),11/01/2016,14
Alaotran gentle lemur (Hapalemur alaotrensis),12/01/2016,5
Alaotran gentle lemur (Hapalemur alaotrensis),13/01/2016,1
Alaotran gentle lemur (Hapalemur alaotrensis),14/01/2016,12
Alaotran gentle lemur (Hapalemur alaotrensis),15/01/2016,6
Alaotran gentle lemur (Hapalemur alaotrensis),16/01/2016,0
Alaotran gentle lemur (Hapalemur alaotrensis),17/01/2016,20
Alaotran gentle lemur (Hapalemur alaotrensis),18/01/2016,7
Alaotran gentle lemur (Hapalemur alaotrensis),19/01/2016,88
Alaotran gentle lemur (Hapalemur alaotrensis),20/01/2016,33
Alaotran gentle lemur (Hapalemur alaotrensis),21/01/2016,10
Alaotran gentle lemur (Hapalemur alaotrensis),22/01/2016,14
Alaotran gentle lemur (Hapalemur alaotrensis),23/01/2016,51
Alaotran gentle lemur (Hapalemur alaotrensis),24/01/2016,16
Alaotran gentle lemur (Hapalemur alaotrensis),25/01/2016,32
Alaotran gentle lemur (Hapalemur alaotrensis),26/01/2016,5
Alaotran gentle lemur (Hapalemur alaotrensis),27/01/2016,2
Alaotran gentle lemur (Hapalemur alaotrensis),28/01/2016,10
Alaotran gentle lemur (Hapalemur alaotrensis),29/01/2016,13
Alaotran gentle lemur (Hapalemur alaotrensis),30/01/2016,34
Alaotran gentle lemur (Hapalemur alaotrensis),31/01/2016,2
Alaotran gentle lemur (Hapalemur alaotrensis),01/02/2016,7
Alaotran gentle lemur (Hapalemur alaotrensis),02/02/2016,10
Alaotran gentle lemur (Hapalemur alaotrensis),03/02/2016,5
Alaotran gentle lemur (Hapalemur alaotrensis),04/02/2016,88
Alaotran gentle lemur (Hapalemur alaotrensis),05/02/2016,26
Alaotran gentle lemur (Hapalemur alaotrensis),06/02/2016,3
Alaotran gentle lemur (Hapalemur alaotrensis),07/02/2016,43
Alaotran gentle lemur (Hapalemur alaotrensis),08/02/2016,25
Alaotran gentle lemur (Hapalemur alaotrensis),09/02/2016,7
Alaotran gentle lemur (Hapalemur alaotrensis),10/02/2016,76
Alaotran gentle lemur (Hapalemur alaotrensis),11/02/2016,17
Alaotran gentle lemur (Hapalemur alaotrensis),12/02/2016,48
Alaotran gentle lemur (Hapalemur alaotrensis),13/02/2016,9
Alaotran gentle lemur (Hapalemur alaotrensis),14/02/2016,2
Alaotran gentle lemur (Hapalemur alaotrensis),15/02/2016,4
Alaotran gentle lemur (Hapalemur alaotrensis),16/02/2016,27
Alaotran gentle lemur (Hapalemur alaotrensis),17/02/2016,16
Alaotran gentle lemur (Hapalemur alaotrensis),18/02/2016,131
Alaotran gentle lemur (Hapalemur alaotrensis),19/02/2016,82
Alaotran gentle lemur (Hapalemur alaotrensis),20/02/2016,33
Alaotran gentle lemur (Hapalemur alaotrensis),21/02/2016,13
Alaotran gentle lemur (Hapalemur alaotrensis),22/02/2016,22
Alaotran gentle lemur (Hapalemur alaotrensis),23/02/2016,9
Alaotran gentle lemur (Hapalemur alaotrensis),24/02/2016,90
Alaotran gentle lemur (Hapalemur alaotrensis),25/02/2016,14
Alaotran gentle lemur (Hapalemur alaotrensis),26/02/2016,10
Alaotran gentle lemur (Hapalemur alaotrensis),27/02/2016,3
Alaotran gentle lemur (Hapalemur alaotrensis),28/02/2016,7
Alaotran gentle lemur (Hapalemur alaotrensis),29/02/2016,13
Alaotran gentle lemur (Hapalemur alaotrensis),01/03/2016,81
Alaotran gentle lemur (Hapalemur alaotrensis),02/03/2016,10
Alaotran gentle lemur (Hapalemur alaotrensis),03/03/2016,9
Alaotran gentle lemur (Hapalemur alaotrensis),04/03/2016,44
Alaotran gentle lemur (Hapalemur alaotrensis),05/03/2016,4
Alaotran gentle lemur (Hapalemur alaotrensis),06/03/2016,12
Alaotran gentle lemur (Hapalemur alaotrensis),07/03/2016,21
Alaotran gentle lemur (Hapalemur alaotrensis),08/03/2016,6
Alaotran gentle lemur (Hapalemur alaotrensis),09/03/2016,4
Alaotran gentle lemur (Hapalemur alaotrensis),10/03/2016,5
Alaotran gentle lemur (Hapalemur alaotrensis),11/03/2016,8
Alaotran gentle lemur (Hapalemur alaotrensis),12/03/2016,2
Alaotran gentle lemur (Hapalemur alaotrensis),13/03/2016,6
Alaotran gentle lemur (Hapalemur alaotrensis),14/03/2016,105
Alaotran gentle lemur (Hapalemur alaotrensis),15/03/2016,9
Alaotran gentle lemur (Hapalemur alaotrensis),16/03/2016,65
Alaotran gentle lemur (Hapalemur alaotrensis),17/03/2016,38
Alaotran gentle lemur (Hapalemur alaotrensis),18/03/2016,25
Alaotran gentle lemur (Hapalemur alaotrensis),19/03/2016,6
Alaotran gentle lemur (Hapalemur alaotrensis),20/03/2016,0
Alaotran gentle lemur (Hapalemur alaotrensis),21/03/2016,1
Alaotran gentle lemur (Hapalemur alaotrensis),22/03/2016,1
Alaotran gentle lemur (Hapalemur alaotrensis),23/03/2016,82
Alaotran gentle lemur (Hapalemur alaotrensis),24/03/2016,45
Alaotran gentle lemur (Hapalemur alaotrensis),25/03/2016,0
Alaotran gentle lemur (Hapalemur alaotrensis),26/03/2016,35
Alaotran gentle lemur (Hapalemur alaotrensis),27/03/2016,12
Alaotran gentle lemur (Hapalemur alaotrensis),28/03/2016,19
Alaotran gentle lemur (Hapalemur alaotrensis),29/03/2016,12
Alaotran gentle lemur (Hapalemur alaotrensis),30/03/2016,32
Alaotran gentle lemur (Hapalemur alaotrensis),31/03/2016,2
Alaotran gentle lemur (Hapalemur alaotrensis),01/04/2016,4
Alaotran gentle lemur (Hapalemur alaotrensis),02/04/2016,25
Alaotran gentle lemur (Hapalemur alaotrensis),03/04/2016,5
Alaotran gentle lemur (Hapalemur alaotrensis),04/04/2016,10
Alaotran gentle lemur (Hapalemur alaotrensis),05/04/2016,47
Alaotran gentle lemur (Hapalemur alaotrensis),06/04/2016,25
Alaotran gentle lemur (Hapalemur alaotrensis),07/04/2016,12
Alaotran gentle lemur (Hapalemur alaotrensis),08/04/2016,24
Alaotran gentle lemur (Hapalemur alaotrensis),09/04/2016,64
Alaotran gentle lemur (Hapalemur alaotrensis),10/04/2016,4
Alaotran gentle lemur (Hapalemur alaotrensis),11/04/2016,5
Alaotran gentle lemur (Hapalemur alaotrensis),12/04/2016,28
Alaotran gentle lemur (Hapalemur alaotrensis),13/04/2016,38
Alaotran gentle lemur (Hapalemur alaotrensis),14/04/2016,11
Alaotran gentle lemur (Hapalemur alaotrensis),15/04/2016,14
Alaotran gentle lemur (Hapalemur alaotrensis),16/04/2016,17
Alaotran gentle lemur (Hapalemur alaotrensis),17/04/2016,4
Alaotran gentle lemur (Hapalemur alaotrensis),18/04/2016,14
Alaotran gentle lemur (Hapalemur alaotrensis),19/04/2016,29
Alaotran gentle lemur (Hapalemur alaotrensis),20/04/2016,41
Alaotran gentle lemur (Hapalemur alaotrensis),21/04/2016,45
Alaotran gentle lemur (Hapalemur alaotrensis),22/04/2016,23
Alaotran gentle lemur (Hapalemur alaotrensis),23/04/2016,1
Alaotran gentle lemur (Hapalemur alaotrensis),24/04/2016,1
Alaotran gentle lemur (Hapalemur alaotrensis),25/04/2016,2
Alaotran gentle lemur (Hapalemur alaotrensis),26/04/2016,8
Alaotran gentle lemur (Hapalemur alaotrensis),27/04/2016,54
Alaotran gentle lemur (Hapalemur alaotrensis),28/04/2016,5
Alaotran gentle lemur (Hapalemur alaotrensis),29/04/2016,41
Alaotran gentle lemur (Hapalemur alaotrensis),30/04/2016,25
Alaotran gentle lemur (Hapalemur alaotrensis),01/05/2016,19
Alaotran gentle lemur (Hapalemur alaotrensis),02/05/2016,66
Alaotran gentle lemur (Hapalemur alaotrensis),03/05/2016,24
Alaotran gentle lemur (Hapalemur alaotrensis),04/05/2016,50
Alaotran gentle lemur (Hapalemur alaotrensis),05/05/2016,124
Alaotran gentle lemur (Hapalemur alaotrensis),06/05/2016,86
Alaotran gentle lemur (Hapalemur alaotrensis),07/05/2016,26
Alaotran gentle lemur (Hapalemur alaotrensis),08/05/2016,2
Alaotran gentle lemur (Hapalemur alaotrensis),09/05/2016,82
Alaotran gentle lemur (Hapalemur alaotrensis),10/05/2016,14
Alaotran gentle lemur (Hapalemur alaotrensis),11/05/2016,4
Alaotran gentle lemur (Hapalemur alaotrensis),12/05/2016,69
Alaotran gentle lemur (Hapalemur alaotrensis),13/05/2016,15
Alaotran gentle lemur (Hapalemur alaotrensis),14/05/2016,2
Alaotran gentle lemur (Hapalemur alaotrensis),15/05/2016,24
Alaotran gentle lemur (Hapalemur alaotrensis),16/05/2016,10
Alaotran gentle lemur (Hapalemur alaotrensis),17/05/2016,28
Alaotran gentle lemur (Hapalemur alaotrensis),18/05/2016,11
Alaotran gentle lemur (Hapalemur alaotrensis),19/05/2016,0
Alaotran gentle lemur (Hapalemur alaotrensis),20/05/2016,94
Alaotran gentle lemur (Hapalemur alaotrensis),21/05/2016,0
Alaotran gentle lemur (Hapalemur alaotrensis),22/05/2016,7
Alaotran gentle lemur (Hapalemur alaotrensis),23/05/2016,8
Alaotran gentle lemur (Hapalemur alaotrensis),24/05/2016,22
Alaotran gentle lemur (Hapalemur alaotrensis),25/05/2016,21
Alaotran gentle lemur (Hapalemur alaotrensis),26/05/2016,9
Alaotran gentle lemur (Hapalemur alaotrensis),27/05/2016,9
Alaotran gentle lemur (Hapalemur alaotrensis),28/05/2016,42
Alaotran gentle lemur (Hapalemur alaotrensis),29/05/2016,0
Alaotran gentle lemur (Hapalemur alaotrensis),30/05/2016,7
Alaotran gentle lemur (Hapalemur alaotrensis),31/05/2016,2
Alaotran gentle lemur (Hapalemur alaotrensis),01/06/2016,15
